time	Max
1.625390E-02	3.416498E+00
1.649260E-02	3.741321E+00
1.673129E-02	4.066606E+00
1.696999E-02	4.389690E+00
1.720868E-02	4.707905E+00
1.744738E-02	5.018617E+00
1.768607E-02	5.319257E+00
1.792477E-02	5.607356E+00
1.816346E-02	5.880581E+00
1.840215E-02	6.136762E+00
1.864085E-02	6.373921E+00
1.887954E-02	6.590298E+00
1.911824E-02	6.784371E+00
1.935693E-02	6.954877E+00
1.959563E-02	7.100824E+00
1.983432E-02	7.221506E+00
2.007302E-02	7.316503E+00
2.031171E-02	7.385691E+00
2.055040E-02	7.429236E+00
2.078910E-02	7.447590E+00
2.102779E-02	7.441483E+00
2.126649E-02	7.411905E+00
2.150518E-02	7.360095E+00
2.174388E-02	7.287518E+00
2.198257E-02	7.195841E+00
2.222127E-02	7.086911E+00
2.245996E-02	6.962722E+00
2.269866E-02	6.825388E+00
2.293735E-02	6.677112E+00
2.317604E-02	6.520151E+00
2.341474E-02	6.356785E+00
2.365343E-02	6.189285E+00
2.389213E-02	6.019877E+00
2.413082E-02	5.850713E+00
2.436952E-02	5.683841E+00
2.460821E-02	5.521173E+00
2.484691E-02	5.364463E+00
2.508560E-02	5.215280E+00
2.532429E-02	5.074989E+00
2.556299E-02	4.944729E+00
2.580168E-02	4.825406E+00
2.604038E-02	4.717677E+00
2.627907E-02	4.621944E+00
2.651777E-02	4.538352E+00
2.675646E-02	4.466791E+00
2.699516E-02	4.406902E+00
2.723385E-02	4.358081E+00
2.747254E-02	4.319499E+00
2.771124E-02	4.290116E+00
2.794993E-02	4.268699E+00
2.818863E-02	4.253849E+00
2.842732E-02	4.244024E+00
2.866602E-02	4.237570E+00
2.890471E-02	4.232749E+00
2.914341E-02	4.227774E+00
2.938210E-02	4.220841E+00
2.962080E-02	4.210160E+00
2.985949E-02	4.193993E+00
3.009818E-02	4.170683E+00
3.033688E-02	4.138690E+00
3.057557E-02	4.096616E+00
3.081427E-02	4.043238E+00
3.105296E-02	3.977530E+00
3.129166E-02	3.898688E+00
3.153035E-02	3.806146E+00
3.176905E-02	3.699590E+00
3.200774E-02	3.578973E+00
3.224643E-02	3.444514E+00
3.248513E-02	3.296703E+00
3.272382E-02	3.136297E+00
3.296252E-02	2.964306E+00
3.320121E-02	2.781985E+00
3.343991E-02	2.590810E+00
3.367860E-02	2.392459E+00
3.391730E-02	2.188778E+00
3.415599E-02	1.981754E+00
3.439468E-02	1.773475E+00
3.463338E-02	1.566097E+00
3.487207E-02	1.361799E+00
3.511077E-02	1.162742E+00
3.534946E-02	9.710264E-01
3.558816E-02	7.886485E-01
3.582685E-02	6.174595E-01
3.606555E-02	4.591250E-01
3.630424E-02	3.150874E-01
3.654293E-02	1.865333E-01
3.678163E-02	7.436400E-02
3.702032E-02	-2.082742E-02
3.725902E-02	-9.877328E-02
3.749771E-02	-1.595412E-01
3.773641E-02	-2.035369E-01
3.797510E-02	-2.314979E-01
3.821380E-02	-2.444803E-01
3.845249E-02	-2.438357E-01
3.869119E-02	-2.311802E-01
3.892988E-02	-2.083557E-01
3.916857E-02	-1.773827E-01
3.940727E-02	-1.404066E-01
3.964596E-02	-9.963787E-02
3.988466E-02	-5.728837E-02
4.012335E-02	-1.550335E-02
4.036205E-02	2.370632E-02
4.060074E-02	5.853271E-02
4.083944E-02	8.743456E-02
4.107813E-02	1.091965E-01
4.131682E-02	1.229804E-01
4.155552E-02	1.283635E-01
4.179421E-02	1.253668E-01
4.203291E-02	1.144626E-01
4.227160E-02	9.656676E-02
4.251030E-02	7.300812E-02
4.274899E-02	4.547672E-02
4.298769E-02	1.594666E-02
4.322638E-02	-1.342323E-02
4.346507E-02	-4.041134E-02
4.370377E-02	-6.287657E-02
4.394246E-02	-7.891716E-02
4.418116E-02	-8.703891E-02
4.441985E-02	-8.632648E-02
4.465855E-02	-7.660030E-02
4.489724E-02	-5.855312E-02
4.513594E-02	-3.383729E-02
4.537463E-02	-5.086716E-03
4.561333E-02	2.416173E-02
4.585202E-02	4.967569E-02
4.609071E-02	6.691641E-02
4.632941E-02	7.164633E-02
4.656810E-02	6.082577E-02
4.680680E-02	3.386180E-02
4.704549E-02	-5.705380E-03
4.728419E-02	-4.799458E-02
4.752288E-02	-7.393408E-02
4.776158E-02	-5.165629E-02
4.800027E-02	6.800382E-02
