DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
2.569200E+04 	1.500000E+03 	3.100000E+01 	1.290528E+00 	5.532808E-01 
2.571000E+04 	1.500000E+03 	3.100000E+01 	1.307174E+00 	5.037097E-01 
2.572000E+04 	1.500000E+03 	2.700000E+01 	2.063316E+00 	3.179568E-01 
2.574500E+04 	1.500000E+03 	2.200000E+01 	2.151970E+00 	1.859519E-01 
2.574600E+04 	1.500000E+03 	2.400000E+01 	2.120181E+00 	2.273090E-01 
2.575800E+04 	1.500000E+03 	2.600000E+01 	2.031777E+00 	3.274719E-01 
2.578500E+04 	1.500000E+03 	2.900000E+01 	1.413864E+00 	4.453905E-01 
2.584100E+04 	1.500000E+03 	2.900000E+01 	1.692050E+00 	4.207206E-01 
2.587400E+04 	1.500000E+03 	2.800000E+01 	1.516183E+00 	3.888574E-01 
2.592900E+04 	1.500000E+03 	2.500000E+01 	2.063531E+00 	2.670226E-01 
2.593000E+04 	1.500000E+03 	3.600000E+01 	1.018402E+00 	9.249163E-01 
2.593400E+04 	1.500000E+03 	2.600000E+01 	1.831260E+00 	2.978667E-01 
2.593800E+04 	1.500000E+03 	3.300000E+01 	1.101056E+00 	6.237204E-01 
2.594500E+04 	1.500000E+03 	3.100000E+01 	1.313280E+00 	5.187148E-01 
2.603300E+04 	1.500000E+03 	3.300000E+01 	1.145463E+00 	6.513310E-01 
2.606400E+04 	1.500000E+03 	3.200000E+01 	1.483701E+00 	5.429262E-01 
2.606700E+04 	1.500000E+03 	3.300000E+01 	1.194191E+00 	6.410537E-01 
2.611700E+04 	1.500000E+03 	2.800000E+01 	2.154020E+00 	3.606877E-01 
2.614500E+04 	1.500000E+03 	3.200000E+01 	1.722619E+00 	5.189145E-01 
2.620100E+04 	1.500000E+03 	2.400000E+01 	1.828977E+00 	2.385977E-01 
2.621300E+04 	1.500000E+03 	2.700000E+01 	1.891823E+00 	3.145122E-01 
2.626200E+04 	1.500000E+03 	2.800000E+01 	1.603647E+00 	3.994606E-01 
2.627100E+04 	1.500000E+03 	3.600000E+01 	8.870561E-01 	8.927741E-01 
2.636800E+04 	1.500000E+03 	3.100000E+01 	1.304431E+00 	5.205311E-01 
2.637900E+04 	1.500000E+03 	3.200000E+01 	1.167022E+00 	6.379703E-01 
2.638300E+04 	1.500000E+03 	3.400000E+01 	1.050896E+00 	7.639003E-01 
2.638800E+04 	1.500000E+03 	3.200000E+01 	1.170421E+00 	6.201545E-01 
2.640000E+04 	1.500000E+03 	3.100000E+01 	1.299460E+00 	5.399781E-01 
2.642400E+04 	1.500000E+03 	3.100000E+01 	1.751853E+00 	5.147664E-01 
2.643600E+04 	1.500000E+03 	2.600000E+01 	1.748679E+00 	3.199897E-01 
2.646900E+04 	1.500000E+03 	2.900000E+01 	1.803138E+00 	3.949368E-01 
2.652800E+04 	1.500000E+03 	2.800000E+01 	1.876027E+00 	3.952539E-01 
2.657200E+04 	1.500000E+03 	3.500000E+01 	1.202346E+00 	7.650081E-01 
2.663500E+04 	1.500000E+03 	3.400000E+01 	9.701739E-01 	7.055468E-01 
