x[cm]_0	X-CH_0	x[cm]_1	X-CH_1	x[cm]_2	X-CH_2
1.65715E-01	4.57697E-08	1.05428E-01	4.63131E-06	3.43215E-01	3.29492E-06
1.66521E-01	4.75609E-08	1.05911E-01	4.73489E-06	3.44050E-01	3.37986E-06
1.67322E-01	4.94055E-08	1.06393E-01	4.84007E-06	3.44884E-01	3.46644E-06
1.68107E-01	5.12810E-08	1.06874E-01	4.94655E-06	3.45714E-01	3.55434E-06
1.68880E-01	5.31898E-08	1.07352E-01	5.05436E-06	3.46538E-01	3.64336E-06
1.69648E-01	5.51555E-08	1.07830E-01	5.16382E-06	3.47360E-01	3.73384E-06
1.70415E-01	5.71901E-08	1.08308E-01	5.27509E-06	3.48181E-01	3.82609E-06
1.71183E-01	5.92958E-08	1.08785E-01	5.38822E-06	3.49003E-01	3.92012E-06
1.71951E-01	6.14750E-08	1.09263E-01	5.50324E-06	3.49825E-01	4.01596E-06
1.72719E-01	6.37301E-08	1.09741E-01	5.62018E-06	3.50646E-01	4.11363E-06
1.73487E-01	6.60638E-08	1.10219E-01	5.73908E-06	3.51466E-01	4.21282E-06
1.74255E-01	6.84784E-08	1.10696E-01	5.85981E-06	3.52279E-01	4.31321E-06
1.75023E-01	7.09768E-08	1.11171E-01	5.98206E-06	3.53090E-01	4.41509E-06
1.75791E-01	7.35616E-08	1.11645E-01	6.10588E-06	3.53900E-01	4.51881E-06
1.76559E-01	7.62357E-08	1.12118E-01	6.23159E-06	3.54711E-01	4.62443E-06
1.77327E-01	7.90020E-08	1.12591E-01	6.35937E-06	3.55522E-01	4.73195E-06
1.78090E-01	8.18435E-08	1.13064E-01	6.48926E-06	3.56332E-01	4.84141E-06
1.78839E-01	8.47298E-08	1.13536E-01	6.62129E-06	3.57141E-01	4.95261E-06
1.79578E-01	8.76693E-08	1.14009E-01	6.75548E-06	3.57946E-01	5.06524E-06
1.80314E-01	9.06941E-08	1.14482E-01	6.89187E-06	3.58748E-01	5.17940E-06
1.81050E-01	9.38179E-08	1.14955E-01	7.03033E-06	3.59550E-01	5.29542E-06
1.81785E-01	9.70438E-08	1.15426E-01	7.17057E-06	3.60351E-01	5.41343E-06
1.82521E-01	1.00375E-07	1.15895E-01	7.31254E-06	3.61152E-01	5.53346E-06
1.83257E-01	1.03815E-07	1.16363E-01	7.45659E-06	3.61954E-01	5.65552E-06
1.83993E-01	1.07366E-07	1.16832E-01	7.60294E-06	3.62754E-01	5.77952E-06
