[ms]_0	C-NO_0	C-OH_0
4.54091E-03	8.44396E-11	7.38340E-08
4.55412E-03	8.54867E-11	7.38694E-08
4.56733E-03	8.65383E-11	7.39028E-08
4.58054E-03	8.75945E-11	7.39343E-08
4.59375E-03	8.86550E-11	7.39641E-08
4.60697E-03	8.97199E-11	7.39922E-08
4.62018E-03	9.07890E-11	7.40186E-08
4.63339E-03	9.18623E-11	7.40434E-08
4.64660E-03	9.29398E-11	7.40668E-08
4.65981E-03	9.40213E-11	7.40886E-08
4.67302E-03	9.51069E-11	7.41092E-08
4.68623E-03	9.61963E-11	7.41284E-08
4.69945E-03	9.72896E-11	7.41463E-08
4.71266E-03	9.83868E-11	7.41630E-08
4.72587E-03	9.94876E-11	7.41786E-08
4.74573E-03	1.01150E-10	7.42000E-08
4.76559E-03	1.02819E-10	7.42190E-08
4.78545E-03	1.04497E-10	7.42359E-08
4.80531E-03	1.06183E-10	7.42508E-08
4.82517E-03	1.07876E-10	7.42639E-08
4.84503E-03	1.09576E-10	7.42752E-08
4.86489E-03	1.11283E-10	7.42849E-08
4.88475E-03	1.12998E-10	7.42931E-08
4.90462E-03	1.14718E-10	7.43000E-08
4.92448E-03	1.16446E-10	7.43056E-08
4.94434E-03	1.18179E-10	7.43101E-08
4.96420E-03	1.19920E-10	7.43135E-08
4.98406E-03	1.21665E-10	7.43159E-08
5.00392E-03	1.23417E-10	7.43175E-08
5.02378E-03	1.25175E-10	7.43182E-08
5.04364E-03	1.26937E-10	7.43181E-08
5.06350E-03	1.28706E-10	7.43174E-08
5.08336E-03	1.30479E-10	7.43161E-08
5.10322E-03	1.32257E-10	7.43142E-08
5.12309E-03	1.34041E-10	7.43118E-08
5.14295E-03	1.35829E-10	7.43089E-08
5.16281E-03	1.37622E-10	7.43057E-08
5.18267E-03	1.39419E-10	7.43020E-08
5.20253E-03	1.41220E-10	7.42981E-08
5.22239E-03	1.43026E-10	7.42938E-08
