x[cm]_2	X-NO_2
7.257110E-01	2.542960E+00
7.271830E-01	2.561460E+00
7.286480E-01	2.579980E+00
7.300820E-01	2.598200E+00
7.314730E-01	2.615970E+00
7.328460E-01	2.633600E+00
7.342180E-01	2.651320E+00
7.355910E-01	2.669130E+00
7.369630E-01	2.687040E+00
7.383350E-01	2.705040E+00
7.396850E-01	2.722850E+00
7.409910E-01	2.740160E+00
7.422730E-01	2.757250E+00
7.435550E-01	2.774430E+00
7.448360E-01	2.791690E+00
7.461180E-01	2.809040E+00
7.473990E-01	2.826490E+00
7.486800E-01	2.844010E+00
7.499410E-01	2.861360E+00
7.511630E-01	2.878260E+00
7.523670E-01	2.894980E+00
7.535720E-01	2.911790E+00
7.547760E-01	2.928670E+00
7.559800E-01	2.945640E+00
7.571840E-01	2.962690E+00
7.583880E-01	2.979830E+00
7.595860E-01	2.996950E+00
7.607610E-01	3.013830E+00
7.619130E-01	3.030450E+00
7.630550E-01	3.047010E+00
7.641970E-01	3.063640E+00
7.653400E-01	3.080350E+00
7.664820E-01	3.097140E+00
7.676250E-01	3.114000E+00
7.687670E-01	3.130930E+00
7.699080E-01	3.147920E+00
7.710360E-01	3.164790E+00
7.721450E-01	3.181450E+00
7.732450E-01	3.198050E+00
7.743450E-01	3.214710E+00
7.754460E-01	3.231450E+00
7.765460E-01	3.248260E+00
7.776460E-01	3.265140E+00
7.787460E-01	3.282090E+00
7.798460E-01	3.299110E+00
7.809440E-01	3.316170E+00
7.820340E-01	3.333170E+00
7.831140E-01	3.350090E+00
7.841890E-01	3.367010E+00
7.852650E-01	3.384010E+00
7.863410E-01	3.401070E+00
7.874170E-01	3.418200E+00
7.884930E-01	3.435390E+00
7.895690E-01	3.452660E+00
7.906440E-01	3.470000E+00
7.917200E-01	3.487400E+00
7.927930E-01	3.504830E+00
7.938600E-01	3.522230E+00
7.949250E-01	3.539670E+00
7.959900E-01	3.557170E+00
7.970550E-01	3.574740E+00
7.981200E-01	3.592380E+00
7.991840E-01	3.610090E+00
8.002490E-01	3.627860E+00
8.013140E-01	3.645710E+00
8.023790E-01	3.663620E+00
8.034440E-01	3.681600E+00
8.045070E-01	3.699620E+00
8.055690E-01	3.717690E+00
8.066310E-01	3.735830E+00
8.076930E-01	3.754030E+00
8.087550E-01	3.772300E+00
8.098170E-01	3.790640E+00
8.108780E-01	3.809050E+00
8.119400E-01	3.827530E+00
8.130020E-01	3.846070E+00
8.140640E-01	3.864680E+00
8.151260E-01	3.883360E+00
8.161870E-01	3.902100E+00
8.172480E-01	3.920900E+00
8.183090E-01	3.939770E+00
8.193690E-01	3.958710E+00
8.204300E-01	3.977710E+00
8.214910E-01	3.996780E+00
8.225520E-01	4.015920E+00
8.236130E-01	4.035120E+00
8.246730E-01	4.054400E+00
8.257340E-01	4.073740E+00
8.267950E-01	4.093150E+00
8.278560E-01	4.112630E+00
8.289170E-01	4.132170E+00
8.299780E-01	4.151790E+00
8.310380E-01	4.171470E+00
8.320990E-01	4.191210E+00
