x[cm]_0	X-NO_0	x[cm]_1	X-NO_1	x[cm]_2	X-NO_2
7.64830E-02	3.44123E-03	5.46689E-02	5.14323E-02	2.50201E-01	6.79237E-02
7.76533E-02	3.52305E-03	5.53366E-02	5.22653E-02	2.51574E-01	6.90935E-02
7.88236E-02	3.60606E-03	5.60043E-02	5.31043E-02	2.52921E-01	7.02559E-02
7.99940E-02	3.69028E-03	5.66720E-02	5.39494E-02	2.54238E-01	7.14083E-02
8.11643E-02	3.77573E-03	5.73397E-02	5.48005E-02	2.55544E-01	7.25668E-02
8.23346E-02	3.86243E-03	5.80074E-02	5.56577E-02	2.56851E-01	7.37405E-02
8.35050E-02	3.95040E-03	5.86663E-02	5.65097E-02	2.58158E-01	7.49296E-02
8.46753E-02	4.03965E-03	5.93075E-02	5.73446E-02	2.59451E-01	7.61214E-02
8.58456E-02	4.13021E-03	5.99396E-02	5.81733E-02	2.60713E-01	7.72996E-02
8.70159E-02	4.22209E-03	6.05715E-02	5.90073E-02	2.61955E-01	7.84734E-02
8.81863E-02	4.31531E-03	6.12034E-02	5.98470E-02	2.63193E-01	7.96584E-02
8.93405E-02	4.40860E-03	6.18353E-02	6.06924E-02	2.64432E-01	8.08579E-02
9.04556E-02	4.50000E-03	6.24671E-02	6.15435E-02	2.65671E-01	8.20721E-02
9.15406E-02	4.59015E-03	6.30990E-02	6.24004E-02	2.66894E-01	8.32861E-02
9.26185E-02	4.68094E-03	6.37309E-02	6.32632E-02	2.68088E-01	8.44841E-02
9.36964E-02	4.77294E-03	6.43572E-02	6.41241E-02	2.69265E-01	8.56798E-02
9.47743E-02	4.86620E-03	6.49707E-02	6.49730E-02	2.70443E-01	8.68887E-02
9.58522E-02	4.96071E-03	6.55750E-02	6.58148E-02	2.71620E-01	8.81115E-02
9.69301E-02	5.05650E-03	6.61776E-02	6.66595E-02	2.72797E-01	8.93481E-02
9.80080E-02	5.15359E-03	6.67802E-02	6.75098E-02	2.73961E-01	9.05850E-02
9.90859E-02	5.25199E-03	6.73828E-02	6.83655E-02	2.75098E-01	9.18066E-02
1.00164E-01	5.35172E-03	6.79854E-02	6.92268E-02	2.76221E-01	9.30256E-02
1.01242E-01	5.45280E-03	6.85880E-02	7.00937E-02	2.77342E-01	9.42566E-02
1.02320E-01	5.55526E-03	6.91907E-02	7.09662E-02	2.78464E-01	9.55009E-02
1.03398E-01	5.65910E-03	6.97885E-02	7.18374E-02	2.79586E-01	9.67585E-02
1.04476E-01	5.76435E-03	7.03754E-02	7.26982E-02	2.80698E-01	9.80192E-02
1.05553E-01	5.87101E-03	7.09549E-02	7.35533E-02	2.81789E-01	9.92685E-02
1.06631E-01	5.97902E-03	7.15331E-02	7.44118E-02	2.82864E-01	1.00512E-01
1.07709E-01	6.08836E-03	7.21112E-02	7.52756E-02	2.83936E-01	1.01764E-01
1.08787E-01	6.19904E-03	7.26894E-02	7.61448E-02	2.85008E-01	1.03029E-01
1.09865E-01	6.31108E-03	7.32675E-02	7.70194E-02	2.86079E-01	1.04306E-01
1.10937E-01	6.42381E-03	7.38456E-02	7.78994E-02	2.87147E-01	1.05592E-01
1.11978E-01	6.53467E-03	7.44238E-02	7.87849E-02	2.88201E-01	1.06873E-01
1.12977E-01	6.64231E-03	7.49970E-02	7.96682E-02	2.89236E-01	1.08144E-01
1.13959E-01	6.74923E-03	7.55600E-02	8.05412E-02	2.90263E-01	1.09417E-01
1.14941E-01	6.85733E-03	7.61176E-02	8.14110E-02	2.91290E-01	1.10703E-01
1.15923E-01	6.96662E-03	7.66749E-02	8.22855E-02	2.92318E-01	1.12001E-01
1.16905E-01	7.07713E-03	7.72322E-02	8.31653E-02	2.93345E-01	1.13312E-01
1.17886E-01	7.18886E-03	7.77896E-02	8.40504E-02	2.94365E-01	1.14625E-01
1.18868E-01	7.30183E-03	7.83469E-02	8.49407E-02	2.95368E-01	1.15929E-01
