Tinlet       	StrainRate   	dZr          	DSt          	ChiSt        	ChiQu        	ChiStQu      
8.000000E+02 	1.200000E+01 	2.912664E-02 	5.116853E-04 	5.414219E+00 	9.099639E+02 	5.949927E-03 
8.000000E+02 	1.300000E+01 	3.046351E-02 	5.171148E-04 	7.117321E+00 	9.099639E+02 	7.821542E-03 
8.000000E+02 	1.400000E+01 	2.968630E-02 	5.184754E-04 	8.934574E+00 	9.099639E+02 	9.818603E-03 
8.000000E+02 	1.500000E+01 	3.141875E-02 	5.198464E-04 	1.121696E+01 	9.099639E+02 	1.232682E-02 
8.000000E+02 	1.600000E+01 	3.095130E-02 	5.212370E-04 	1.409345E+01 	9.099639E+02 	1.548792E-02 
8.000000E+02 	1.700000E+01 	3.289069E-02 	5.226043E-04 	1.770866E+01 	9.099639E+02 	1.946084E-02 
8.000000E+02 	1.800000E+01 	3.270496E-02 	5.238948E-04 	2.224148E+01 	9.099639E+02 	2.444216E-02 
8.000000E+02 	1.900000E+01 	3.507690E-02 	5.251577E-04 	2.794829E+01 	9.099639E+02 	3.071363E-02 
8.000000E+02 	2.000000E+01 	3.536800E-02 	5.264377E-04 	3.523114E+01 	9.099639E+02 	3.871707E-02 
8.000000E+02 	2.100000E+01 	3.812444E-02 	5.275470E-04 	4.429021E+01 	9.099639E+02 	4.867249E-02 
8.000000E+02 	2.200000E+01 	3.870474E-02 	5.285422E-04 	5.566560E+01 	9.099639E+02 	6.117342E-02 
8.000000E+02 	2.300000E+01 	4.203176E-02 	5.294070E-04 	6.995814E+01 	9.099639E+02 	7.688013E-02 
8.000000E+02 	2.400000E+01 	4.309819E-02 	5.301160E-04 	8.791435E+01 	9.099639E+02 	9.661301E-02 
8.000000E+02 	2.500000E+01 	4.471138E-02 	5.306359E-04 	1.104736E+02 	9.099639E+02 	1.214044E-01 
8.000000E+02 	2.600000E+01 	4.882818E-02 	5.279176E-04 	1.334618E+02 	9.099639E+02 	1.466671E-01 
8.000000E+02 	2.700000E+01 	5.106778E-02 	5.280180E-04 	1.677635E+02 	9.099639E+02 	1.843628E-01 
8.000000E+02 	2.800000E+01 	5.408840E-02 	5.279062E-04 	2.119133E+02 	9.099639E+02 	2.328810E-01 
8.000000E+02 	2.900000E+01 	5.965523E-02 	5.271692E-04 	2.662717E+02 	9.099639E+02 	2.926179E-01 
8.000000E+02 	3.000000E+01 	6.216758E-02 	5.258520E-04 	3.345330E+02 	9.099639E+02 	3.676333E-01 
8.000000E+02 	3.100000E+01 	6.949177E-02 	5.262034E-04 	4.374265E+02 	9.099639E+02 	4.807075E-01 
8.000000E+02 	3.200000E+01 	7.396030E-02 	5.229240E-04 	5.499131E+02 	9.099639E+02 	6.043241E-01 
8.000000E+02 	3.300000E+01 	8.542471E-02 	5.179350E-04 	6.910383E+02 	9.099639E+02 	7.594129E-01 
8.000000E+02 	3.400000E+01 	9.705850E-02 	5.102035E-04 	9.099639E+02 	9.099639E+02 	1.000000E+00 
9.000000E+02 	0.000000E+00 	2.006487E-01 	5.026025E-04 	4.532271E-01 	1.144750E+03 	3.959180E-04 
9.000000E+02 	1.000000E+00 	1.784809E-01 	5.060101E-04 	5.874856E-01 	1.144750E+03 	5.131999E-04 
9.000000E+02 	2.000000E+00 	1.591040E-01 	5.056265E-04 	7.260662E-01 	1.144750E+03 	6.342574E-04 
9.000000E+02 	3.000000E+00 	1.445323E-01 	5.054906E-04 	9.000139E-01 	1.144750E+03 	7.862100E-04 
9.000000E+02 	4.000000E+00 	1.352122E-01 	5.056057E-04 	1.118800E+00 	1.144750E+03 	9.773313E-04 
9.000000E+02 	5.000000E+00 	1.265035E-01 	5.059054E-04 	1.392337E+00 	1.144750E+03 	1.216280E-03 
9.000000E+02 	6.000000E+00 	1.212435E-01 	5.063807E-04 	1.735603E+00 	1.144750E+03 	1.516142E-03 
9.000000E+02 	7.000000E+00 	1.176638E-01 	5.112238E-04 	2.276382E+00 	1.144750E+03 	1.988541E-03 
