DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
2.300000E+03 	1.500000E+03 	3.700000E+01 	8.119982E-01 	2.936680E-01 
2.313000E+03 	1.500000E+03 	3.700000E+01 	7.161834E-01 	4.353503E-01 
2.315000E+03 	1.500000E+03 	3.700000E+01 	7.727072E-01 	2.801009E-01 
2.321000E+03 	1.500000E+03 	3.700000E+01 	9.190917E-01 	4.631751E-01 
2.324000E+03 	1.500000E+03 	3.700000E+01 	7.293736E-01 	6.751070E-01 
2.328000E+03 	1.500000E+03 	3.700000E+01 	7.291335E-01 	4.665935E-01 
2.359000E+03 	1.500000E+03 	3.700000E+01 	6.921623E-01 	9.807466E-01 
2.362000E+03 	1.500000E+03 	3.700000E+01 	7.418551E-01 	5.592333E-01 
2.375000E+03 	1.500000E+03 	3.700000E+01 	8.850793E-01 	3.437735E-01 
2.390000E+03 	1.500000E+03 	3.700000E+01 	8.040642E-01 	4.761382E-01 
2.467000E+03 	1.500000E+03 	3.700000E+01 	8.509210E-01 	3.355967E-01 
2.534000E+03 	1.500000E+03 	3.700000E+01 	8.831186E-01 	3.422354E-01 
2.586000E+03 	1.500000E+03 	3.700000E+01 	9.445714E-01 	5.442087E-01 
2.704000E+03 	1.500000E+03 	3.700000E+01 	8.389440E-01 	3.222679E-01 
2.725000E+03 	1.500000E+03 	3.700000E+01 	8.284146E-01 	3.003017E-01 
2.738000E+03 	1.500000E+03 	3.700000E+01 	7.465545E-01 	6.598797E-01 
2.775000E+03 	1.500000E+03 	3.700000E+01 	6.875605E-01 	2.839066E-01 
2.790000E+03 	1.500000E+03 	3.700000E+01 	8.111410E-01 	3.753526E-01 
2.839000E+03 	1.500000E+03 	3.700000E+01 	9.040022E-01 	2.453023E-01 
2.854000E+03 	1.500000E+03 	3.700000E+01 	8.320712E-01 	3.134953E-01 
2.876000E+03 	1.500000E+03 	3.700000E+01 	7.382079E-01 	1.977257E-01 
2.892000E+03 	1.500000E+03 	3.700000E+01 	7.826994E-01 	3.099210E-01 
2.904000E+03 	1.500000E+03 	3.700000E+01 	7.092969E-01 	4.187926E-01 
2.911000E+03 	1.500000E+03 	3.700000E+01 	6.661903E-01 	1.008610E+00 
2.913000E+03 	1.500000E+03 	3.700000E+01 	8.233200E-01 	4.799418E-01 
2.932000E+03 	1.500000E+03 	3.700000E+01 	8.183986E-01 	3.572162E-01 
2.984000E+03 	1.500000E+03 	3.700000E+01 	7.549227E-01 	1.516077E-01 
3.060000E+03 	1.500000E+03 	3.700000E+01 	7.839359E-01 	3.966868E-01 
3.062000E+03 	1.500000E+03 	3.700000E+01 	8.092146E-01 	3.721153E-01 
3.110000E+03 	1.500000E+03 	3.700000E+01 	7.373975E-01 	5.779897E-01 
3.133000E+03 	1.500000E+03 	3.700000E+01 	7.958699E-01 	3.006254E-01 
3.248000E+03 	1.500000E+03 	3.700000E+01 	7.831385E-01 	3.419336E-01 
3.278000E+03 	1.500000E+03 	3.700000E+01 	8.007109E-01 	4.379173E-01 
3.366000E+03 	1.500000E+03 	3.700000E+01 	8.186736E-01 	4.551873E-01 
3.398000E+03 	1.500000E+03 	3.700000E+01 	6.649179E-01 	4.965172E-01 
3.422000E+03 	1.500000E+03 	3.700000E+01 	7.284182E-01 	3.687599E-01 
3.457000E+03 	1.500000E+03 	3.700000E+01 	1.018333E+00 	2.709376E-01 
3.480000E+03 	1.500000E+03 	3.700000E+01 	8.600891E-01 	3.547338E-01 
3.517000E+03 	1.500000E+03 	3.700000E+01 	7.610710E-01 	3.580193E-01 
3.521000E+03 	1.500000E+03 	3.700000E+01 	8.400395E-01 	3.330292E-01 
3.526000E+03 	1.500000E+03 	3.700000E+01 	7.562339E-01 	6.172908E-01 
3.592000E+03 	1.500000E+03 	3.700000E+01 	9.245315E-01 	9.866761E-01 
3.594000E+03 	1.500000E+03 	3.700000E+01 	8.992667E-01 	1.270911E+00 
3.596000E+03 	1.500000E+03 	3.700000E+01 	8.084389E-01 	4.820975E-01 
3.602000E+03 	1.500000E+03 	3.700000E+01 	7.479856E-01 	3.837214E-01 
3.619000E+03 	1.500000E+03 	3.700000E+01 	7.828698E-01 	4.343718E-01 
3.635000E+03 	1.500000E+03 	3.700000E+01 	7.748134E-01 	5.364794E-01 
3.653000E+03 	1.500000E+03 	3.700000E+01 	7.000325E-01 	8.939863E-01 
3.675000E+03 	1.500000E+03 	3.700000E+01 	7.434512E-01 	2.995433E-01 
3.754000E+03 	1.500000E+03 	3.700000E+01 	9.486746E-01 	4.015328E-01 
3.769000E+03 	1.500000E+03 	3.700000E+01 	9.840163E-01 	2.837991E-01 
3.846000E+03 	1.500000E+03 	3.700000E+01 	8.007304E-01 	4.100741E-01 
3.922000E+03 	1.500000E+03 	3.700000E+01 	8.259290E-01 	2.447659E-01 
3.936000E+03 	1.500000E+03 	3.700000E+01 	8.417572E-01 	2.338027E-01 
3.937000E+03 	1.500000E+03 	3.700000E+01 	7.412922E-01 	3.851120E-01 
3.979000E+03 	1.500000E+03 	3.700000E+01 	7.909448E-01 	2.876147E-01 
3.988000E+03 	1.500000E+03 	3.700000E+01 	6.977942E-01 	6.988398E-01 
4.022000E+03 	1.500000E+03 	3.700000E+01 	7.411698E-01 	4.393867E-01 
4.074000E+03 	1.500000E+03 	3.700000E+01 	8.717790E-01 	2.584481E-01 
4.110000E+03 	1.500000E+03 	3.700000E+01 	8.384974E-01 	1.623309E-01 
4.113000E+03 	1.500000E+03 	3.700000E+01 	7.912709E-01 	4.728426E-01 
4.125000E+03 	1.500000E+03 	3.700000E+01 	8.213890E-01 	3.073070E-01 
4.239000E+03 	1.500000E+03 	3.700000E+01 	7.577840E-01 	7.159914E-01 
4.257000E+03 	1.500000E+03 	3.700000E+01 	8.104768E-01 	4.051017E-01 
4.273000E+03 	1.500000E+03 	3.700000E+01 	7.794034E-01 	2.334914E-01 
4.276000E+03 	1.500000E+03 	3.700000E+01 	8.068174E-01 	4.196576E-01 
4.284000E+03 	1.500000E+03 	3.700000E+01 	7.243433E-01 	5.460265E-01 
4.309000E+03 	1.500000E+03 	3.700000E+01 	8.517569E-01 	3.611785E-01 
4.316000E+03 	1.500000E+03 	3.700000E+01 	8.101533E-01 	5.043406E-01 
4.354000E+03 	1.500000E+03 	3.700000E+01 	6.911634E-01 	8.451845E-01 
4.414000E+03 	1.500000E+03 	3.700000E+01 	7.462530E-01 	5.888650E-01 
4.442000E+03 	1.500000E+03 	3.700000E+01 	8.266813E-01 	2.014150E-01 
4.461000E+03 	1.500000E+03 	3.700000E+01 	7.651567E-01 	1.030752E+00 
4.466000E+03 	1.500000E+03 	3.700000E+01 	7.875320E-01 	5.869292E-01 
4.520000E+03 	1.500000E+03 	3.700000E+01 	8.515050E-01 	5.259780E-01 
4.536000E+03 	1.500000E+03 	3.700000E+01 	9.509789E-01 	3.678970E-01 
4.604000E+03 	1.500000E+03 	3.700000E+01 	9.553139E-01 	7.208873E-01 
4.688000E+03 	1.500000E+03 	3.700000E+01 	7.931219E-01 	3.032233E-01 
4.760000E+03 	1.500000E+03 	3.700000E+01 	7.708339E-01 	5.178859E-01 
4.777000E+03 	1.500000E+03 	3.700000E+01 	8.112799E-01 	5.400952E-01 
4.811000E+03 	1.500000E+03 	3.700000E+01 	7.562147E-01 	4.027127E-01 
4.857000E+03 	1.500000E+03 	3.700000E+01 	7.512785E-01 	4.435743E-01 
4.938000E+03 	1.500000E+03 	3.700000E+01 	8.058814E-01 	2.599346E-01 
4.971000E+03 	1.500000E+03 	3.700000E+01 	8.674560E-01 	2.752251E-01 
5.038000E+03 	1.500000E+03 	3.700000E+01 	7.289938E-01 	3.392475E-01 
5.061000E+03 	1.500000E+03 	3.700000E+01 	7.401454E-01 	3.816092E-01 
