time	Min
2.867495E-02	6.178555E+00
2.891354E-02	6.174522E+00
2.915214E-02	6.149871E+00
2.939073E-02	6.103330E+00
2.962933E-02	6.033817E+00
2.986792E-02	5.940476E+00
3.010652E-02	5.822712E+00
3.034511E-02	5.680223E+00
3.058371E-02	5.513028E+00
3.082230E-02	5.321491E+00
3.106090E-02	5.106336E+00
3.129949E-02	4.868665E+00
3.153809E-02	4.609957E+00
3.177668E-02	4.332067E+00
3.201528E-02	4.037220E+00
3.225387E-02	3.727986E+00
3.249247E-02	3.407260E+00
3.273106E-02	3.078223E+00
3.296965E-02	2.744301E+00
3.320825E-02	2.409115E+00
3.344684E-02	2.076424E+00
3.368544E-02	1.750060E+00
3.392403E-02	1.433860E+00
3.416263E-02	1.131595E+00
3.440122E-02	8.468919E-01
3.463982E-02	5.831566E-01
3.487841E-02	3.434994E-01
3.511701E-02	1.306594E-01
3.535560E-02	-5.306617E-02
3.559420E-02	-2.058862E-01
3.583279E-02	-3.265719E-01
3.607139E-02	-4.145049E-01
3.630998E-02	-4.697110E-01
3.654858E-02	-4.928830E-01
3.678717E-02	-4.853876E-01
3.702577E-02	-4.492542E-01
3.726436E-02	-3.871494E-01
3.750296E-02	-3.023307E-01
3.774155E-02	-1.985825E-01
3.798015E-02	-8.013280E-02
3.821874E-02	4.844594E-02
3.845734E-02	1.823554E-01
3.869593E-02	3.167040E-01
3.893453E-02	4.466504E-01
3.917312E-02	5.675586E-01
3.941172E-02	6.751574E-01
3.965031E-02	7.657015E-01
3.988891E-02	8.361278E-01
4.012750E-02	8.842020E-01
4.036610E-02	9.086485E-01
4.060469E-02	9.092581E-01
4.084328E-02	8.869643E-01
4.108188E-02	8.438812E-01
4.132047E-02	7.832983E-01
4.155907E-02	7.096241E-01
4.179766E-02	6.282677E-01
4.203626E-02	5.454657E-01
4.227485E-02	4.680306E-01
4.251345E-02	4.030479E-01
4.275204E-02	3.574924E-01
4.299064E-02	3.377947E-01
4.322923E-02	3.493528E-01
4.346783E-02	3.960125E-01
4.370642E-02	4.795251E-01
4.394502E-02	5.990349E-01
4.418361E-02	7.506171E-01
4.442221E-02	9.269189E-01
4.466080E-02	1.116969E+00
4.489940E-02	1.306247E+00
4.513799E-02	1.477080E+00
4.537659E-02	1.609501E+00
4.561518E-02	1.682707E+00
4.585378E-02	1.677266E+00
4.609237E-02	1.578271E+00
4.633097E-02	1.379668E+00
4.656956E-02	1.090012E+00
4.680816E-02	7.399558E-01
4.704675E-02	3.918022E-01
4.728535E-02	1.515560E-01
4.752394E-02	1.838735E-01
4.776254E-02	7.304579E-01
4.800113E-02	2.132517E+00
