DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
2.892000E+03 	1.500000E+03 	3.700000E+01 	7.826994E-01 	3.099210E-01 
2.904000E+03 	1.500000E+03 	3.700000E+01 	7.092969E-01 	4.187926E-01 
2.911000E+03 	1.500000E+03 	3.700000E+01 	6.661903E-01 	1.008610E+00 
2.913000E+03 	1.500000E+03 	3.600000E+01 	9.623554E-01 	4.855418E-01 
2.932000E+03 	1.500000E+03 	3.700000E+01 	8.183986E-01 	3.572162E-01 
2.984000E+03 	1.500000E+03 	3.700000E+01 	7.549227E-01 	1.516077E-01 
3.060000E+03 	1.500000E+03 	3.500000E+01 	9.976737E-01 	4.031131E-01 
3.062000E+03 	1.500000E+03 	3.600000E+01 	9.458679E-01 	3.764571E-01 
3.110000E+03 	1.500000E+03 	3.600000E+01 	8.619229E-01 	5.847338E-01 
3.133000E+03 	1.500000E+03 	3.700000E+01 	7.958699E-01 	3.006254E-01 
3.248000E+03 	1.500000E+03 	3.700000E+01 	7.831385E-01 	3.419336E-01 
3.278000E+03 	1.500000E+03 	3.700000E+01 	8.007109E-01 	4.379173E-01 
3.366000E+03 	1.500000E+03 	3.600000E+01 	9.569243E-01 	4.604985E-01 
3.398000E+03 	1.500000E+03 	3.700000E+01 	6.649179E-01 	4.965172E-01 
3.422000E+03 	1.500000E+03 	3.600000E+01 	8.514273E-01 	3.730627E-01 
3.457000E+03 	1.500000E+03 	3.500000E+01 	1.295979E+00 	2.753267E-01 
3.480000E+03 	1.500000E+03 	3.600000E+01 	1.005334E+00 	3.588728E-01 
3.517000E+03 	1.500000E+03 	3.700000E+01 	7.610710E-01 	3.580193E-01 
3.521000E+03 	1.500000E+03 	3.600000E+01 	9.818982E-01 	3.369150E-01 
3.526000E+03 	1.500000E+03 	3.600000E+01 	8.839402E-01 	6.244934E-01 
3.592000E+03 	1.500000E+03 	3.700000E+01 	9.245315E-01 	9.866761E-01 
3.594000E+03 	1.500000E+03 	3.700000E+01 	8.992667E-01 	1.270911E+00 
3.596000E+03 	1.500000E+03 	3.700000E+01 	8.084389E-01 	4.820975E-01 
3.602000E+03 	1.500000E+03 	3.700000E+01 	7.479856E-01 	3.837214E-01 
3.619000E+03 	1.500000E+03 	3.700000E+01 	7.828698E-01 	4.343718E-01 
3.635000E+03 	1.500000E+03 	3.600000E+01 	9.056573E-01 	5.427391E-01 
3.653000E+03 	1.500000E+03 	3.700000E+01 	7.000325E-01 	8.939863E-01 
3.675000E+03 	1.500000E+03 	3.500000E+01 	9.461509E-01 	3.043958E-01 
3.754000E+03 	1.500000E+03 	3.700000E+01 	9.486746E-01 	4.015328E-01 
3.769000E+03 	1.500000E+03 	3.500000E+01 	1.252305E+00 	2.883966E-01 
3.846000E+03 	1.500000E+03 	3.700000E+01 	8.007304E-01 	4.100741E-01 
3.922000E+03 	1.500000E+03 	3.600000E+01 	9.654048E-01 	2.476219E-01 
3.936000E+03 	1.500000E+03 	3.600000E+01 	9.839060E-01 	2.365308E-01 
3.937000E+03 	1.500000E+03 	3.700000E+01 	7.412922E-01 	3.851120E-01 
3.979000E+03 	1.500000E+03 	3.700000E+01 	7.909448E-01 	2.876147E-01 
3.988000E+03 	1.500000E+03 	3.700000E+01 	6.977942E-01 	6.988398E-01 
4.022000E+03 	1.500000E+03 	3.700000E+01 	7.411698E-01 	4.393867E-01 
4.074000E+03 	1.500000E+03 	3.600000E+01 	1.018998E+00 	2.614637E-01 
4.110000E+03 	1.500000E+03 	3.700000E+01 	8.384974E-01 	1.623309E-01 
4.113000E+03 	1.500000E+03 	3.600000E+01 	9.248941E-01 	4.783598E-01 
4.125000E+03 	1.500000E+03 	3.600000E+01 	9.600982E-01 	3.108927E-01 
4.239000E+03 	1.500000E+03 	3.700000E+01 	7.577840E-01 	7.159914E-01 
4.257000E+03 	1.500000E+03 	3.700000E+01 	8.104768E-01 	4.051017E-01 
4.273000E+03 	1.500000E+03 	3.700000E+01 	7.794034E-01 	2.334914E-01 
4.276000E+03 	1.500000E+03 	3.600000E+01 	9.430659E-01 	4.245542E-01 
4.284000E+03 	1.500000E+03 	3.700000E+01 	7.243433E-01 	5.460265E-01 
4.309000E+03 	1.500000E+03 	3.600000E+01 	9.955944E-01 	3.653927E-01 
4.316000E+03 	1.500000E+03 	3.600000E+01 	9.469652E-01 	5.102253E-01 
4.354000E+03 	1.500000E+03 	3.700000E+01 	6.911634E-01 	8.451845E-01 
4.414000E+03 	1.500000E+03 	3.600000E+01 	8.722738E-01 	5.957359E-01 
4.442000E+03 	1.500000E+03 	3.600000E+01 	9.662843E-01 	2.037651E-01 
4.461000E+03 	1.500000E+03 	3.600000E+01 	8.943698E-01 	1.042779E+00 
4.466000E+03 	1.500000E+03 	3.600000E+01 	9.205238E-01 	5.937776E-01 
4.520000E+03 	1.500000E+03 	3.600000E+01 	9.952999E-01 	5.321152E-01 
4.536000E+03 	1.500000E+03 	3.600000E+01 	1.111572E+00 	3.721896E-01 
4.604000E+03 	1.500000E+03 	3.700000E+01 	9.553139E-01 	7.208873E-01 
4.688000E+03 	1.500000E+03 	3.600000E+01 	9.270576E-01 	3.067613E-01 
4.760000E+03 	1.500000E+03 	3.700000E+01 	7.708339E-01 	5.178859E-01 
4.777000E+03 	1.500000E+03 	3.600000E+01 	9.482819E-01 	5.463971E-01 
4.811000E+03 	1.500000E+03 	3.700000E+01 	7.562147E-01 	4.027127E-01 
4.857000E+03 	1.500000E+03 	3.700000E+01 	7.512785E-01 	4.435743E-01 
4.938000E+03 	1.500000E+03 	3.700000E+01 	8.058814E-01 	2.599346E-01 
4.971000E+03 	1.500000E+03 	3.600000E+01 	1.013945E+00 	2.784365E-01 
5.038000E+03 	1.500000E+03 	3.700000E+01 	7.289938E-01 	3.392475E-01 
5.061000E+03 	1.500000E+03 	3.700000E+01 	7.401454E-01 	3.816092E-01 
5.078000E+03 	1.500000E+03 	3.500000E+01 	9.957971E-01 	2.571501E-01 
5.119000E+03 	1.500000E+03 	3.700000E+01 	6.903394E-01 	2.602386E-01 
5.158000E+03 	1.500000E+03 	3.600000E+01 	9.143506E-01 	3.707002E-01 
5.172000E+03 	1.500000E+03 	3.700000E+01 	7.176359E-01 	2.442380E-01 
5.178000E+03 	1.500000E+03 	3.600000E+01 	9.100372E-01 	2.626367E-01 
5.283000E+03 	1.500000E+03 	3.600000E+01 	1.025672E+00 	2.095211E-01 
5.286000E+03 	1.500000E+03 	3.700000E+01 	7.077864E-01 	4.633970E-01 
