x[cm]_0	X-NO_0	x[cm]_1	X-NO_1	x[cm]_2	X-NO_2
2.04108E-02	3.36671E-03	1.37824E-02	8.02083E-02	1.28374E-01	2.24151E-02
2.09778E-02	3.39081E-03	1.41653E-02	8.05658E-02	1.30748E-01	2.31705E-02
2.15447E-02	3.41509E-03	1.45481E-02	8.09248E-02	1.33100E-01	2.39434E-02
2.21117E-02	3.43956E-03	1.49305E-02	8.12850E-02	1.35384E-01	2.47178E-02
2.26787E-02	3.46420E-03	1.53121E-02	8.16460E-02	1.37597E-01	2.54910E-02
2.32457E-02	3.48902E-03	1.56932E-02	8.20080E-02	1.39785E-01	2.62783E-02
2.38126E-02	3.51403E-03	1.60742E-02	8.23716E-02	1.41973E-01	2.70889E-02
2.43796E-02	3.53923E-03	1.64552E-02	8.27367E-02	1.44161E-01	2.79236E-02
2.49465E-02	3.56461E-03	1.68362E-02	8.31035E-02	1.46313E-01	2.87684E-02
2.55135E-02	3.59018E-03	1.72172E-02	8.34718E-02	1.48388E-01	2.96066E-02
2.60805E-02	3.61593E-03	1.75983E-02	8.38417E-02	1.50422E-01	3.04505E-02
2.66475E-02	3.64188E-03	1.79793E-02	8.42133E-02	1.52453E-01	3.13163E-02
2.72144E-02	3.66802E-03	1.83603E-02	8.45864E-02	1.54484E-01	3.22059E-02
2.77814E-02	3.69435E-03	1.87413E-02	8.49612E-02	1.56500E-01	3.31134E-02
2.83484E-02	3.72088E-03	1.91223E-02	8.53376E-02	1.58470E-01	3.40234E-02
2.89153E-02	3.74761E-03	1.95034E-02	8.57156E-02	1.60387E-01	3.49319E-02
2.94823E-02	3.77453E-03	1.98844E-02	8.60952E-02	1.62284E-01	3.58540E-02
3.00492E-02	3.80165E-03	2.02654E-02	8.64765E-02	1.64181E-01	3.67994E-02
3.06162E-02	3.82898E-03	2.06464E-02	8.68595E-02	1.66078E-01	3.77686E-02
3.11832E-02	3.85650E-03	2.10274E-02	8.72441E-02	1.67950E-01	3.87490E-02
3.17501E-02	3.88423E-03	2.14085E-02	8.76303E-02	1.69768E-01	3.97245E-02
3.23171E-02	3.91216E-03	2.17895E-02	8.80183E-02	1.71554E-01	4.07055E-02
3.28841E-02	3.94030E-03	2.21705E-02	8.84079E-02	1.73336E-01	4.17076E-02
3.34511E-02	3.96865E-03	2.25515E-02	8.87992E-02	1.75118E-01	4.27332E-02
3.40180E-02	3.99722E-03	2.29325E-02	8.91922E-02	1.76893E-01	4.37784E-02
3.45850E-02	4.02599E-03	2.33136E-02	8.95868E-02	1.78637E-01	4.48292E-02
3.51520E-02	4.05497E-03	2.36946E-02	8.99832E-02	1.80343E-01	4.58801E-02
3.57189E-02	4.08417E-03	2.40756E-02	9.03813E-02	1.82033E-01	4.69444E-02
3.62859E-02	4.11359E-03	2.44566E-02	9.07811E-02	1.83723E-01	4.80321E-02
3.68529E-02	4.14322E-03	2.48376E-02	9.11827E-02	1.85414E-01	4.91438E-02
3.74198E-02	4.17308E-03	2.52187E-02	9.15859E-02	1.87090E-01	5.02705E-02
3.79868E-02	4.20315E-03	2.55997E-02	9.19909E-02	1.88736E-01	5.14003E-02
3.85538E-02	4.23345E-03	2.59807E-02	9.23977E-02	1.90360E-01	5.25395E-02
3.91207E-02	4.26397E-03	2.63617E-02	9.28062E-02	1.91982E-01	5.37000E-02
3.96877E-02	4.29472E-03	2.67427E-02	9.32165E-02	1.93603E-01	5.48847E-02
4.02547E-02	4.32570E-03	2.71238E-02	9.36285E-02	1.95220E-01	5.60913E-02
4.08216E-02	4.35691E-03	2.75035E-02	9.40408E-02	1.96821E-01	5.73106E-02
4.13886E-02	4.38834E-03	2.78805E-02	9.44521E-02	1.98401E-01	5.85384E-02
4.19556E-02	4.42001E-03	2.82563E-02	9.48637E-02	1.99973E-01	5.97842E-02
4.25225E-02	4.45192E-03	2.86321E-02	9.52770E-02	2.01545E-01	6.10550E-02
4.30895E-02	4.48406E-03	2.90078E-02	9.56921E-02	2.03117E-01	6.23513E-02
4.36565E-02	4.51645E-03	2.93836E-02	9.61089E-02	2.04680E-01	6.36666E-02
4.42234E-02	4.54907E-03	2.97594E-02	9.65275E-02	2.06226E-01	6.49926E-02
4.47904E-02	4.58193E-03	3.01352E-02	9.69478E-02	2.07761E-01	6.63350E-02
4.53574E-02	4.61504E-03	3.05109E-02	9.73700E-02	2.09294E-01	6.77023E-02
4.59243E-02	4.64839E-03	3.08867E-02	9.77939E-02	2.10827E-01	6.90946E-02
4.64913E-02	4.68199E-03	3.12625E-02	9.82196E-02	2.12357E-01	7.05041E-02
4.70583E-02	4.71584E-03	3.16383E-02	9.86471E-02	2.13875E-01	7.19262E-02
4.76252E-02	4.74994E-03	3.20140E-02	9.90764E-02	2.15380E-01	7.33595E-02
4.81922E-02	4.78430E-03	3.23898E-02	9.95076E-02	2.16881E-01	7.48117E-02
4.87592E-02	4.81891E-03	3.27656E-02	9.99405E-02	2.18381E-01	7.62876E-02
4.93261E-02	4.85377E-03	3.31413E-02	1.00375E-01	2.19881E-01	7.77873E-02
4.98931E-02	4.88890E-03	3.35171E-02	1.00812E-01	2.21374E-01	7.93036E-02
5.04601E-02	4.92428E-03	3.38929E-02	1.01250E-01	2.22853E-01	8.08290E-02
5.10270E-02	4.95993E-03	3.42687E-02	1.01691E-01	2.24324E-01	8.23707E-02
5.15940E-02	4.99585E-03	3.46445E-02	1.02133E-01	2.25795E-01	8.39364E-02
5.21610E-02	5.03203E-03	3.50202E-02	1.02577E-01	2.27266E-01	8.55262E-02
5.27279E-02	5.06848E-03	3.53960E-02	1.03023E-01	2.28734E-01	8.71362E-02
5.32949E-02	5.10521E-03	3.57718E-02	1.03470E-01	2.30190E-01	8.87590E-02
5.38619E-02	5.14220E-03	3.61475E-02	1.03920E-01	2.31638E-01	9.03955E-02
5.44288E-02	5.17947E-03	3.65233E-02	1.04372E-01	2.33082E-01	9.20531E-02
5.49958E-02	5.21702E-03	3.68991E-02	1.04825E-01	2.34527E-01	9.37354E-02
5.55628E-02	5.25485E-03	3.72735E-02	1.05278E-01	2.35970E-01	9.54410E-02
5.61297E-02	5.29296E-03	3.76448E-02	1.05730E-01	2.37406E-01	9.71630E-02
5.66967E-02	5.33135E-03	3.80141E-02	1.06181E-01	2.38831E-01	9.88963E-02
5.72637E-02	5.37003E-03	3.83831E-02	1.06634E-01	2.40250E-01	1.00648E-01
5.78306E-02	5.40900E-03	3.87522E-02	1.07089E-01	2.41670E-01	1.02426E-01
5.83976E-02	5.44825E-03	3.91212E-02	1.07545E-01	2.43090E-01	1.04228E-01
5.89646E-02	5.48780E-03	3.94902E-02	1.08003E-01	2.44504E-01	1.06051E-01
5.95315E-02	5.52764E-03	3.98593E-02	1.08464E-01	2.45908E-01	1.07884E-01
6.00985E-02	5.56778E-03	4.02283E-02	1.08926E-01	2.47305E-01	1.09734E-01
6.06655E-02	5.60822E-03	4.05974E-02	1.09390E-01	2.48700E-01	1.11607E-01
6.12324E-02	5.64896E-03	4.09664E-02	1.09856E-01	2.50095E-01	1.13506E-01
6.17994E-02	5.69000E-03	4.13355E-02	1.10324E-01	2.51487E-01	1.15428E-01
6.23664E-02	5.73135E-03	4.17045E-02	1.10793E-01	2.52872E-01	1.17364E-01
6.29333E-02	5.77300E-03	4.20735E-02	1.11265E-01	2.54246E-01	1.19312E-01
6.35003E-02	5.81497E-03	4.24426E-02	1.11739E-01	2.55616E-01	1.21281E-01
6.40673E-02	5.85725E-03	4.28116E-02	1.12214E-01	2.56987E-01	1.23277E-01
6.46342E-02	5.89984E-03	4.31806E-02	1.12692E-01	2.58357E-01	1.25298E-01
6.52012E-02	5.94275E-03	4.35497E-02	1.13171E-01	2.59722E-01	1.27337E-01
6.57682E-02	5.98597E-03	4.39187E-02	1.13653E-01	2.61074E-01	1.29384E-01
6.63351E-02	6.02952E-03	4.42878E-02	1.14136E-01	2.62419E-01	1.31448E-01
6.69021E-02	6.07340E-03	4.46568E-02	1.14622E-01	2.63765E-01	1.33539E-01
6.74691E-02	6.11759E-03	4.50258E-02	1.15109E-01	2.65111E-01	1.35657E-01
6.80361E-02	6.16212E-03	4.53934E-02	1.15596E-01	2.66453E-01	1.37795E-01
6.86030E-02	6.20698E-03	4.57579E-02	1.16082E-01	2.67784E-01	1.39944E-01
6.91700E-02	6.25217E-03	4.61208E-02	1.16567E-01	2.69108E-01	1.42106E-01
6.97370E-02	6.29770E-03	4.64836E-02	1.17054E-01	2.70428E-01	1.44290E-01
7.03039E-02	6.34357E-03	4.68464E-02	1.17543E-01	2.71749E-01	1.46502E-01
7.08709E-02	6.38978E-03	4.72092E-02	1.18034E-01	2.73069E-01	1.48739E-01
7.14378E-02	6.43633E-03	4.75720E-02	1.18527E-01	2.74381E-01	1.50989E-01
7.20048E-02	6.48322E-03	4.79348E-02	1.19022E-01	2.75682E-01	1.53249E-01
7.25718E-02	6.53047E-03	4.82976E-02	1.19518E-01	2.76979E-01	1.55528E-01
7.31387E-02	6.57807E-03	4.86605E-02	1.20017E-01	2.78276E-01	1.57835E-01
7.37057E-02	6.62602E-03	4.90233E-02	1.20518E-01	2.79572E-01	1.60168E-01
7.42727E-02	6.67432E-03	4.93861E-02	1.21021E-01	2.80864E-01	1.62520E-01
7.48396E-02	6.72299E-03	4.97489E-02	1.21526E-01	2.82145E-01	1.64880E-01
7.54066E-02	6.77202E-03	5.01117E-02	1.22033E-01	2.83420E-01	1.67256E-01
7.59736E-02	6.82141E-03	5.04745E-02	1.22542E-01	2.84694E-01	1.69658E-01
7.65405E-02	6.87117E-03	5.08373E-02	1.23053E-01	2.85968E-01	1.72087E-01
7.71075E-02	6.92129E-03	5.12001E-02	1.23566E-01	2.87240E-01	1.74540E-01
7.76745E-02	6.97179E-03	5.15629E-02	1.24081E-01	2.88504E-01	1.77006E-01
7.82415E-02	7.02267E-03	5.19257E-02	1.24598E-01	2.89761E-01	1.79486E-01
7.88084E-02	7.07392E-03	5.22876E-02	1.25116E-01	2.91015E-01	1.81989E-01
7.93754E-02	7.12555E-03	5.26471E-02	1.25632E-01	2.92269E-01	1.84520E-01
7.99424E-02	7.17757E-03	5.30048E-02	1.26148E-01	2.93523E-01	1.87079E-01
8.05093E-02	7.22997E-03	5.33622E-02	1.26666E-01	2.94772E-01	1.89657E-01
8.10763E-02	7.28276E-03	5.37196E-02	1.27185E-01	2.96013E-01	1.92248E-01
8.16433E-02	7.33594E-03	5.40770E-02	1.27707E-01	2.97250E-01	1.94859E-01
8.22102E-02	7.38952E-03	5.44343E-02	1.28230E-01	2.98488E-01	1.97500E-01
8.27772E-02	7.44349E-03	5.47917E-02	1.28756E-01	2.99725E-01	2.00170E-01
8.33442E-02	7.49787E-03	5.51491E-02	1.29284E-01	3.00960E-01	2.02863E-01
8.39111E-02	7.55264E-03	5.55065E-02	1.29813E-01	3.02189E-01	2.05572E-01
8.44781E-02	7.60783E-03	5.58638E-02	1.30345E-01	3.03414E-01	2.08301E-01
8.50451E-02	7.66342E-03	5.62212E-02	1.30879E-01	3.04638E-01	2.11059E-01
8.56120E-02	7.71942E-03	5.65786E-02	1.31415E-01	3.05862E-01	2.13846E-01
8.61790E-02	7.77584E-03	5.69360E-02	1.31953E-01	3.07085E-01	2.16660E-01
8.67460E-02	7.83268E-03	5.72933E-02	1.32493E-01	3.08303E-01	2.19494E-01
8.73129E-02	7.88994E-03	5.76507E-02	1.33036E-01	3.09517E-01	2.22349E-01
8.78799E-02	7.94762E-03	5.80081E-02	1.33580E-01	3.10730E-01	2.25229E-01
8.84469E-02	8.00573E-03	5.83653E-02	1.34126E-01	3.11942E-01	2.28140E-01
8.90138E-02	8.06427E-03	5.87213E-02	1.34673E-01	3.13154E-01	2.31082E-01
8.95808E-02	8.12324E-03	5.90750E-02	1.35218E-01	3.14364E-01	2.34047E-01
9.01478E-02	8.18265E-03	5.94276E-02	1.35764E-01	3.15567E-01	2.37030E-01
9.07147E-02	8.24250E-03	5.97802E-02	1.36311E-01	3.16768E-01	2.40022E-01
9.12817E-02	8.30280E-03	6.01328E-02	1.36861E-01	3.17969E-01	2.43039E-01
9.18487E-02	8.36353E-03	6.04854E-02	1.37413E-01	3.19170E-01	2.46082E-01
9.24156E-02	8.42472E-03	6.08380E-02	1.37967E-01	3.20369E-01	2.49146E-01
9.29826E-02	8.48636E-03	6.11906E-02	1.38523E-01	3.21563E-01	2.52224E-01
9.35496E-02	8.54846E-03	6.15432E-02	1.39081E-01	3.22753E-01	2.55319E-01
9.41165E-02	8.61101E-03	6.18958E-02	1.39641E-01	3.23943E-01	2.58438E-01
9.46835E-02	8.67403E-03	6.22484E-02	1.40204E-01	3.25132E-01	2.61584E-01
9.52505E-02	8.73751E-03	6.26010E-02	1.40768E-01	3.26320E-01	2.64754E-01
9.58174E-02	8.80146E-03	6.29536E-02	1.41335E-01	3.27503E-01	2.67937E-01
9.63844E-02	8.86589E-03	6.33062E-02	1.41904E-01	3.28681E-01	2.71134E-01
9.69514E-02	8.93079E-03	6.36588E-02	1.42475E-01	3.29858E-01	2.74352E-01
9.75183E-02	8.99617E-03	6.40114E-02	1.43049E-01	3.31034E-01	2.77597E-01
9.80853E-02	9.06203E-03	6.43634E-02	1.43623E-01	3.32210E-01	2.80868E-01
9.86523E-02	9.12838E-03	6.47138E-02	1.44197E-01	3.33382E-01	2.84155E-01
9.92192E-02	9.19522E-03	6.50627E-02	1.44771E-01	3.34547E-01	2.87449E-01
9.97862E-02	9.26255E-03	6.54112E-02	1.45346E-01	3.35710E-01	2.90762E-01
1.00353E-01	9.33038E-03	6.57596E-02	1.45923E-01	3.36872E-01	2.94101E-01
1.00920E-01	9.39870E-03	6.61081E-02	1.46503E-01	3.38034E-01	2.97466E-01
1.01487E-01	9.46754E-03	6.64565E-02	1.47085E-01	3.39193E-01	3.00851E-01
1.02054E-01	9.53687E-03	6.68050E-02	1.47668E-01	3.40346E-01	3.04242E-01
1.02621E-01	9.60672E-03	6.71534E-02	1.48254E-01	3.41493E-01	3.07646E-01
1.03188E-01	9.67709E-03	6.75019E-02	1.48843E-01	3.42640E-01	3.11074E-01
1.03755E-01	9.74797E-03	6.78503E-02	1.49433E-01	3.43788E-01	3.14529E-01
1.04322E-01	9.81938E-03	6.81988E-02	1.50026E-01	3.44933E-01	3.18006E-01
1.04889E-01	9.89131E-03	6.85472E-02	1.50621E-01	3.46072E-01	3.21491E-01
1.05456E-01	9.96371E-03	6.88957E-02	1.51218E-01	3.47206E-01	3.24984E-01
1.06023E-01	1.00365E-02	6.92441E-02	1.51817E-01	3.48337E-01	3.28498E-01
1.06590E-01	1.01098E-02	6.95926E-02	1.52419E-01	3.49468E-01	3.32039E-01
1.07157E-01	1.01835E-02	6.99400E-02	1.53021E-01	3.50599E-01	3.35604E-01
1.07724E-01	1.02578E-02	7.02858E-02	1.53622E-01	3.51725E-01	3.39181E-01
1.08291E-01	1.03325E-02	7.06306E-02	1.54224E-01	3.52844E-01	3.42762E-01
1.08858E-01	1.04077E-02	7.09755E-02	1.54829E-01	3.53960E-01	3.46360E-01
1.09425E-01	1.04835E-02	7.13203E-02	1.55435E-01	3.55075E-01	3.49984E-01
1.09992E-01	1.05597E-02	7.16651E-02	1.56044E-01	3.56191E-01	3.53634E-01
1.10559E-01	1.06364E-02	7.20100E-02	1.56655E-01	3.57303E-01	3.57301E-01
1.11126E-01	1.07136E-02	7.23549E-02	1.57268E-01	3.58408E-01	3.60971E-01
1.11692E-01	1.07914E-02	7.26997E-02	1.57884E-01	3.59509E-01	3.64654E-01
1.12259E-01	1.08696E-02	7.30445E-02	1.58502E-01	3.60609E-01	3.68363E-01
1.12826E-01	1.09483E-02	7.33894E-02	1.59122E-01	3.61709E-01	3.72100E-01
1.13393E-01	1.10276E-02	7.37343E-02	1.59744E-01	3.62808E-01	3.75856E-01
1.13960E-01	1.11074E-02	7.40791E-02	1.60369E-01	3.63900E-01	3.79621E-01
1.14526E-01	1.11876E-02	7.44240E-02	1.60996E-01	3.64987E-01	3.83395E-01
1.15093E-01	1.12685E-02	7.47686E-02	1.61625E-01	3.66073E-01	3.87192E-01
1.15660E-01	1.13498E-02	7.51123E-02	1.62254E-01	3.67159E-01	3.91016E-01
1.16227E-01	1.14317E-02	7.54547E-02	1.62883E-01	3.68244E-01	3.94865E-01
1.16794E-01	1.15141E-02	7.57965E-02	1.63514E-01	3.69325E-01	3.98726E-01
1.17360E-01	1.15970E-02	7.61382E-02	1.64147E-01	3.70400E-01	4.02595E-01
1.17927E-01	1.16805E-02	7.64800E-02	1.64782E-01	3.71473E-01	4.06484E-01
1.18494E-01	1.17645E-02	7.68218E-02	1.65419E-01	3.72546E-01	4.10401E-01
1.19061E-01	1.18491E-02	7.71635E-02	1.66059E-01	3.73619E-01	4.14345E-01
1.19627E-01	1.19342E-02	7.75053E-02	1.66701E-01	3.74689E-01	4.18307E-01
1.20194E-01	1.20198E-02	7.78471E-02	1.67345E-01	3.75754E-01	4.22278E-01
1.20761E-01	1.21061E-02	7.81889E-02	1.67992E-01	3.76816E-01	4.26268E-01
1.21328E-01	1.21928E-02	7.85307E-02	1.68641E-01	3.77879E-01	4.30285E-01
1.21895E-01	1.22801E-02	7.88724E-02	1.69292E-01	3.78941E-01	4.34331E-01
1.22461E-01	1.23680E-02	7.92142E-02	1.69946E-01	3.80002E-01	4.38399E-01
1.23028E-01	1.24565E-02	7.95560E-02	1.70602E-01	3.81059E-01	4.42481E-01
1.23595E-01	1.25455E-02	7.98971E-02	1.71260E-01	3.82114E-01	4.46583E-01
1.24162E-01	1.26351E-02	8.02370E-02	1.71917E-01	3.83168E-01	4.50710E-01
1.24729E-01	1.27252E-02	8.05762E-02	1.72575E-01	3.84222E-01	4.54867E-01
1.25295E-01	1.28159E-02	8.09154E-02	1.73236E-01	3.85275E-01	4.59049E-01
1.25862E-01	1.29073E-02	8.12545E-02	1.73899E-01	3.86327E-01	4.63253E-01
1.26429E-01	1.29991E-02	8.15937E-02	1.74564E-01	3.87376E-01	4.67478E-01
1.26996E-01	1.30916E-02	8.19329E-02	1.75232E-01	3.88425E-01	4.71728E-01
1.27563E-01	1.31847E-02	8.22721E-02	1.75902E-01	3.89473E-01	4.76008E-01
1.28129E-01	1.32783E-02	8.26113E-02	1.76575E-01	3.90522E-01	4.80317E-01
1.28696E-01	1.33725E-02	8.29505E-02	1.77249E-01	3.91570E-01	4.84653E-01
1.29262E-01	1.34672E-02	8.32897E-02	1.77927E-01	3.92616E-01	4.89013E-01
1.29828E-01	1.35625E-02	8.36289E-02	1.78607E-01	3.93662E-01	4.93401E-01
1.30393E-01	1.36584E-02	8.39680E-02	1.79289E-01	3.94708E-01	4.97819E-01
1.30959E-01	1.37548E-02	8.43071E-02	1.79973E-01	3.95753E-01	5.02267E-01
1.31525E-01	1.38519E-02	8.46456E-02	1.80659E-01	3.96799E-01	5.06745E-01
1.32091E-01	1.39495E-02	8.49830E-02	1.81345E-01	3.97844E-01	5.11253E-01
1.32656E-01	1.40478E-02	8.53200E-02	1.82033E-01	3.98889E-01	5.15790E-01
1.33222E-01	1.41467E-02	8.56571E-02	1.82723E-01	3.99934E-01	5.20358E-01
1.33788E-01	1.42462E-02	8.59941E-02	1.83415E-01	4.00979E-01	5.24958E-01
1.34354E-01	1.43464E-02	8.63311E-02	1.84110E-01	4.02023E-01	5.29590E-01
1.34919E-01	1.44471E-02	8.66681E-02	1.84808E-01	4.03068E-01	5.34254E-01
1.35485E-01	1.45485E-02	8.70052E-02	1.85507E-01	4.04113E-01	5.38949E-01
1.36051E-01	1.46505E-02	8.73422E-02	1.86210E-01	4.05158E-01	5.43678E-01
1.36617E-01	1.47532E-02	8.76792E-02	1.86914E-01	4.06203E-01	5.48439E-01
1.37182E-01	1.48564E-02	8.80162E-02	1.87622E-01	4.07248E-01	5.53233E-01
1.37748E-01	1.49603E-02	8.83532E-02	1.88332E-01	4.08293E-01	5.58060E-01
1.38314E-01	1.50649E-02	8.86903E-02	1.89044E-01	4.09338E-01	5.62921E-01
1.38879E-01	1.51701E-02	8.90270E-02	1.89758E-01	4.10382E-01	5.67815E-01
1.39445E-01	1.52760E-02	8.93629E-02	1.90473E-01	4.11427E-01	5.72744E-01
1.40011E-01	1.53825E-02	8.96982E-02	1.91189E-01	4.12472E-01	5.77706E-01
1.40577E-01	1.54896E-02	9.00334E-02	1.91908E-01	4.13517E-01	5.82703E-01
1.41143E-01	1.55974E-02	9.03686E-02	1.92629E-01	4.14562E-01	5.87736E-01
1.41708E-01	1.57059E-02	9.07038E-02	1.93353E-01	4.15607E-01	5.92803E-01
1.42274E-01	1.58150E-02	9.10390E-02	1.94079E-01	4.16652E-01	5.97907E-01
1.42840E-01	1.59248E-02	9.13742E-02	1.94807E-01	4.17697E-01	6.03047E-01
1.43405E-01	1.60351E-02	9.17094E-02	1.95538E-01	4.18742E-01	6.08223E-01
1.43969E-01	1.61460E-02	9.20446E-02	1.96272E-01	4.19788E-01	6.13438E-01
1.44532E-01	1.62574E-02	9.23798E-02	1.97009E-01	4.20833E-01	6.18691E-01
1.45096E-01	1.63695E-02	9.27150E-02	1.97747E-01	4.21879E-01	6.23961E-01
1.45660E-01	1.64822E-02	9.30502E-02	1.98489E-01	4.22925E-01	6.29260E-01
1.46224E-01	1.65957E-02	9.33853E-02	1.99233E-01	4.23970E-01	6.34593E-01
1.46787E-01	1.67098E-02	9.37198E-02	1.99978E-01	4.25017E-01	6.39963E-01
1.47351E-01	1.68247E-02	9.40538E-02	2.00724E-01	4.26064E-01	6.45371E-01
1.47915E-01	1.69402E-02	9.43877E-02	2.01473E-01	4.27112E-01	6.50814E-01
1.48478E-01	1.70564E-02	9.47215E-02	2.02225E-01	4.28160E-01	6.56291E-01
1.49042E-01	1.71733E-02	9.50553E-02	2.02979E-01	4.29207E-01	6.61802E-01
1.49606E-01	1.72909E-02	9.53892E-02	2.03735E-01	4.30256E-01	6.67351E-01
1.50170E-01	1.74092E-02	9.57230E-02	2.04495E-01	4.31305E-01	6.72940E-01
1.50733E-01	1.75282E-02	9.60568E-02	2.05257E-01	4.32355E-01	6.78567E-01
1.51297E-01	1.76480E-02	9.63907E-02	2.06021E-01	4.33406E-01	6.84228E-01
1.51861E-01	1.77684E-02	9.67245E-02	2.06788E-01	4.34456E-01	6.89923E-01
1.52425E-01	1.78895E-02	9.70583E-02	2.07558E-01	4.35506E-01	6.95653E-01
1.52988E-01	1.80114E-02	9.73922E-02	2.08331E-01	4.36558E-01	7.01422E-01
1.53552E-01	1.81340E-02	9.77260E-02	2.09106E-01	4.37610E-01	7.07228E-01
1.54116E-01	1.82573E-02	9.80595E-02	2.09883E-01	4.38662E-01	7.13069E-01
1.54679E-01	1.83814E-02	9.83927E-02	2.10662E-01	4.39715E-01	7.18944E-01
1.55243E-01	1.85062E-02	9.87258E-02	2.11444E-01	4.40767E-01	7.24852E-01
1.55807E-01	1.86317E-02	9.90588E-02	2.12228E-01	4.41820E-01	7.30797E-01
1.56369E-01	1.87576E-02	9.93919E-02	2.13015E-01	4.42874E-01	7.36780E-01
1.56931E-01	1.88842E-02	9.97250E-02	2.13804E-01	4.43928E-01	7.42798E-01
1.57492E-01	1.90114E-02	1.00058E-01	2.14597E-01	4.44983E-01	7.48849E-01
1.58053E-01	1.91393E-02	1.00391E-01	2.15392E-01	4.46037E-01	7.54933E-01
1.58615E-01	1.92681E-02	1.00724E-01	2.16189E-01	4.47092E-01	7.61053E-01
1.59176E-01	1.93975E-02	1.01057E-01	2.16990E-01	4.48149E-01	7.67215E-01
1.59737E-01	1.95277E-02	1.01390E-01	2.17793E-01	4.49206E-01	7.73416E-01
1.60299E-01	1.96587E-02	1.01724E-01	2.18599E-01	4.50265E-01	7.79649E-01
1.60860E-01	1.97904E-02	1.02056E-01	2.19408E-01	4.51323E-01	7.85915E-01
1.61421E-01	1.99229E-02	1.02389E-01	2.20220E-01	4.52381E-01	7.92217E-01
1.61983E-01	2.00562E-02	1.02722E-01	2.21034E-01	4.53443E-01	7.98568E-01
1.62544E-01	2.01902E-02	1.03055E-01	2.21850E-01	4.54508E-01	8.04970E-01
1.63105E-01	2.03250E-02	1.03388E-01	2.22670E-01	4.55574E-01	8.11411E-01
