
read in file:  ITV_mech_withExtra.chthermo
             species    #C    #H    #O    #N
            C7H132X7     7    13     0     0
            C7H133X1     7    13     0     0
            C7H133X5     7    13     0     0
            C7H133X6     7    13     0     0
            C7H133X7     7    13     0     0
           C7H13O1X3     7    13     1     0
           C7H13O2X4     7    13     1     0
           C7H13O3X5     7    13     1     0
           C7H15O2X1     7    15     2     0
           C7H15O2X2     7    15     2     0
           C7H15O2X3     7    15     2     0
           C7H15O2X4     7    15     2     0
            C7H15OX1     7    15     1     0
            C7H15OX2     7    15     1     0
            C7H15OX3     7    15     1     0
            C7H15OX4     7    15     1     0
         C7H14OOH1X2     7    15     2     0
         C7H14OOH2X3     7    15     2     0
         C7H14OOH3X2     7    15     2     0
         C7H14OOH3X4     7    15     2     0
         C7H14OOH4X3     7    15     2     0
         C7H14OOH4X1     7    15     2     0
         C7H14OOH3X1     7    15     2     0
         C7H14OOH1X4     7    15     2     0
         C7H14OOH3X6     7    15     2     0
         C7H14OOH2X5     7    15     2     0
         C7H14OOH3X5     7    15     2     0
         C7H14OOH2X4     7    15     2     0
         C7H14OOH1X3     7    15     2     0
         C7H14OOH4X2     7    15     2     0
         C7H14OOH1X5     7    15     2     0
         C7H14OOH2X6     7    15     2     0
         C7H14OOH3X7     7    15     2     0
          C7H15O2HX1     7    16     2     0
          C7H15O2HX2     7    16     2     0
          C7H15O2HX3     7    16     2     0
           C7H14O1X2     7    14     1     0
           C7H14O2X3     7    14     1     0
           C7H14O3X4     7    14     1     0
           C7H14O1X3     7    14     1     0
           C7H14O2X4     7    14     1     0
           C7H14O3X5     7    14     1     0
           C7H14O1X4     7    14     1     0
           C7H14O2X5     7    14     1     0
           C7H14O1X5     7    14     1     0
           C7H14O2X6     7    14     1     0
       C7H14OOH3X1O2     7    15     4     0
       C7H14OOH4X1O2     7    15     4     0
       C7H14OOH1X3O2     7    15     4     0
       C7H14OOH1X4O2     7    15     4     0
       C7H14OOH1X5O2     7    15     4     0
       C7H14OOH2X4O2     7    15     4     0
       C7H14OOH2X5O2     7    15     4     0
       C7H14OOH2X6O2     7    15     4     0
       C7H14OOH3X5O2     7    15     4     0
       C7H14OOH3X6O2     7    15     4     0
       C7H14OOH3X7O2     7    15     4     0
       C7H14OOH4X2O2     7    15     4     0
            NC7KET13     7    14     3     0
            NC7KET14     7    14     3     0
            NC7KET24     7    14     3     0
            NC7KET35     7    14     3     0
            NC7KET42     7    14     3     0
            NC7KET26     7    14     3     0
            NC7KET37     7    14     3     0
            NC7KET31     7    14     3     0
            NC7KET25     7    14     3     0
            NC7KET36     7    14     3     0
          C7POOH15X7     7    15     4     0
          C7POOH25X7     7    15     4     0
          C7POOH14X2     7    15     4     0
          C7POOH14X6     7    15     4     0
          C7POOH15X3     7    15     4     0
          C7POOH25X3     7    15     4     0
          C7POOH26X4     7    15     4     0
